POCO,BACIA,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,PROFUNDIDADE_VERTICAL_M,COTA_ALTIMETRICA_M,GEOLOGIA_FORMACAO_FINAL,X_UTM,Y_UTM,ELEVACAO
2-TB-1-SP,Paraná,-22.3344555555,-51.3471580555,,,,2474782.080163935,3910904.360043716,469
2-TG-1-SC,Paraná,-27.0957061111,-51.2448822222,,,,2156725.098834495,4046265.3576235455,688
2-TL-1-MS,Paraná,-20.8794747222,-51.7505325,,,,2552691.322211665,3825030.2804753417,297
2-TO-1-RS,Paraná,-29.3265588888,-49.7919880555,,,,2052944.6265399647,4255154.713202479,27
2-TQ-1-MT,Paraná,-17.8814561111,-53.2743388888,,,,2667023.728721237,3570130.502736249,773
2-TV-1-SC,Paraná,-26.7468127777,-51.3158402777,,,,2177802.933450956,4030270.935985889,1219
2-UFRJ-1-PR,Paraná,-24.9957416666,-51.9282805555,,844.0,Serra Geral,2271375.217935031,3920619.561593012,916
2-UV-1-PR,Paraná,-26.179375,-50.929335,,,,2231476.0988511625,4058445.750294733,827
3-BB-2D-PR,Paraná,-24.7302677777,-52.0087,0.0,0.0,,2285699.5375180547,3905117.732931041,914
3-CB-2-SP,Paraná,-22.3254397222,-52.0404416666,,,,2443528.1199379624,3836428.060902239,314
3-CB-3-SP,Paraná,-22.3257302777,-52.0626030555,,,,2442487.072800768,3834067.3797033103,319
3-CB-4-SP,Paraná,-22.3470838888,-52.0634944444,,,,2441039.0958962664,3834578.811666444,311
3-COST-2-PR,Paraná,-24.7276130555,-52.1138575,,904.0,,2281465.3085932354,3893721.802030497,917
3-ELPS-7-PR,Paraná,-24.7260158333,-52.1304408333,,851.2,,2280875.1637155185,3891894.605534592,858
3-ELPS-8-PR,Paraná,-24.6222133333,-51.9639197222,,815.2,,2294767.468738987,3907139.762725252,761
3-HV-2-SC,Paraná,-27.2226183333,-51.4545102777,,,,2140228.457138763,4026469.679547211,643
3-MC-3-SC,Paraná,-26.5207444444,-51.1476183333,,,,2199659.620664257,4043090.183654433,1162
9-RP-1-SP,Paraná,-22.8354380555,-47.6060236111,,,,2605864.630397604,4329911.87752446,610
