POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INÍCIO,TÉRMINO,CONCLUSAO,TITULARIDADE,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
1-A-1-BA,202400001500,3R Bahia,1A   0001  BA,BA,Recôncavo,A,A    ,ARATU,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,8/28/1941,2/15/1942,2/15/1942,Publico,"	-12:47:39,460","	-38:26:10,974","-12,7942944444","-38,4363816666",SIRGAS2000,Definitiva,Vertical,,1775.4,,MR,30,,,,,,,,,,,,,,,,,,,,,,,,,,SC-1                          ,,,5/3/2026
1-AA-1-RN,721000712200,,1AA  0001  RN,RN,Potiguar,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1/21/1984,1/29/1984,1/29/1984,Publico,"	-04:55:05,108","	-37:13:28,721","-4,9180855555","-37,2246447222",SIRGAS2000,Definitiva,Vertical,,1062,,MR,14,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,CC-1                          ,,,5/3/2026
1-AB-1-BA,202200153900,,1AB  0001  BA,BA,Tucano Central,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1/12/1964,2/21/1964,2/21/1964,Publico,"	-09:59:16,784","	-38:40:35,601","-9,9879955555","-38,6765558333",SIRGAS2000,Definitiva,Vertical,,1670,,MR,304.39999,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-53,SONDA CONVENCIONAL 53,,5/3/2026
1-AB-1-PA,600300063100,,1AB  0001  PA,PA,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO,6/18/1990,7/16/1990,7/16/1990,Publico,"	-03:34:49,045","	-54:50:00,714","-3,5802902777","-54,8335316666",SIRGAS2000,Definitiva,Vertical,,1380,,MR,96,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SM-1                          ,,,5/3/2026
1-AB-1-SE,901200014800,,1AB  0001  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,DEVOLVIDO,10/14/1963,10/17/1963,10/17/1963,Publico,"	-11:03:09,403","	-37:08:43,146","-11,0526119444","-37,1453183333",SIRGAS2000,Definitiva,Vertical,,195,,MR,8,,,,,,,,,,,,,,,,,,,,,,,,,,SC-61,SONDA CONVENCIONAL 61,,5/3/2026
1-AB-1-SP,863000708300,,1AB  0001  SP,SP,Paraná,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,10/4/1971,11/1/1971,11/1/1971,Publico,"	-22:46:45,159","	-48:10:55,951","-22,7792108333","-48,1822086111",SIRGAS2000,Definitiva,Vertical,,1659.5,,MR,502,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-60,SONDA CONVENCIONAL 60,,5/3/2026
1-AB-1A-SE,901200015200,,1AB  0001A SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,DEVOLVIDO,11/11/1963,6/30/1964,6/30/1964,Publico,"	-11:03:09,219","	-37:08:43,041","-11,0525608333","-37,1452891666",SIRGAS2000,Definitiva,Vertical,,3341.5,,MR,8,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC-61,SONDA CONVENCIONAL 61,,5/3/2026
1-AB-2-SE,901200062300,,1AB  0002  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,8/6/1969,10/22/1969,10/22/1969,Publico,"	-11:03:14,474","	-37:07:46,700","-11,0540205555","-37,1296388888",SIRGAS2000,Definitiva,Vertical,,2822,,MR,11,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC40,SONDA CONVENCIONAL 40,,5/3/2026
1-ABV-1D-RN,721000514700,PetroRecôncavo,1ABV 0001D RN,RN,Potiguar,BT-POT-9,PAT  ,PATATIVA,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,3/17/1997,5/23/1997,5/23/1997,Publico,"	-05:25:05,784","	-37:38:39,104","-5,4182733333","-37,6441955555",SIRGAS2000,Definitiva,Direcional,,3755,,MR,106,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-110,SONDA CONVENCIONAL 110,,5/3/2026
1-AC-1-PA,600300000800,,1AC  0001  PA,PA,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO,4/25/1954,1/1/1955,1/1/1955,Publico,"	-02:31:16,398","	-54:58:31,269","-2,5212216666","-54,9753525",SIRGAS2000,Definitiva,Vertical,,3579.8,,MR,18,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-22,SONDA CONVENCIONAL 22,,5/3/2026
1-AD-1-AM,140300004500,,1AD  0001  AM,AM,Amazonas,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,6/30/1958,7/7/1958,7/7/1958,Publico,"	-03:18:07,446","	-57:05:17,515","-3,3020683333","-57,0881986111",SIRGAS2000,Definitiva,Vertical,,776,,MR,55,,,,,,,,,Existe,,,,,,,,,,,,,,,,,SC-14,SONDA CONVENCIONAL 14,,5/3/2026
1-AD-1A-AM,140300005100,,1AD  0001A AM,AM,Amazonas,Brasil,,,T,N,1 ,Pioneiro,PORTADOR DE PETRÓLEO E GÁS NATURAL,ABANDONADO PERMANENTEMENTE,8/29/1958,11/30/1958,11/30/1958,Publico,"	-03:18:07,446","	-57:05:17,515","-3,3020683333","-57,0881986111",SIRGAS2000,Definitiva,Vertical,,3578,,MR,55,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-14,SONDA CONVENCIONAL 14,,5/3/2026
1-AE-1-RN,721000282300,,1AE  0001  RN,RN,Potiguar,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,4/25/1987,5/17/1987,5/17/1987,Publico,"	-05:13:17,047","	-36:50:50,124","-5,2214019444","-36,8472566666",SIRGAS2000,Definitiva,Vertical,,1991,,MR,12,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC-97,SONDA CONVENCIONAL 97,,5/3/2026
1-AF-1-PA,600500008700,,1AF  0001  PA,PA,Marajó,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,9/29/1959,12/12/1959,12/12/1959,Publico,"	-00:08:29,234","	-50:10:21,120","-0,1414538888","-50,1725333333",SIRGAS2000,Definitiva,Vertical,,2778,,MR,6,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-24,SONDA CONVENCIONAL 24,,5/3/2026
1-AG-1-BA,202400020000,3R Bahia,1AG  0001  BA,BA,Recôncavo,AG,AG   ,ÁGUA GRANDE,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,FECHADO,9/15/1950,1/28/1951,1/28/1951,Publico,"	-12:24:20,640","	-38:22:00,094","-12,4057333333","-38,3666927777",SIRGAS2000,Definitiva,Vertical,,1410,,MR,88,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-AG-1-SE,901200028500,Carmo,1AG  0001  SE,SE,Sergipe,AG,AG   ,AGUILHADA,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ARRASADO,4/20/1966,7/17/1966,7/17/1966,Publico,"	-10:41:12,530","	-36:53:17,299","-10,6868138888","-36,8881386111",SIRGAS2000,Definitiva,Vertical,,1835,,MR,101,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-59,SONDA CONVENCIONAL 59,,5/3/2026
1-AG-5-SE,901200109900,Carmo,1AG  0005  SE,SE,Sergipe,AG,AG   ,AGUILHADA,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,8/28/1977,10/7/1977,10/7/1977,Publico,"	-10:42:04,772","	-36:52:32,982","-10,7013255555","-36,8758283333",SIRGAS2000,Definitiva,Vertical,,1783,,MR,8,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC41,SONDA CONVENCIONAL 41,,5/3/2026
1-AGIP-1-RJS,74316020184,Eni Oil,1AGIP1RJS,RJ,Santos,BM-S-4,,,M,S,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO E GÁS NATURAL,,10/3/2002,,12/1/2002,Publico,"	-24:11:59,225","	-43:15:26,337","-24,1997847222","-43,2573158333",SIRGAS2000,Definitiva,Vertical,5157,5180,5180,MR,22,0,599,NM,,,,,Existe,,Existe,,,,Existe,,,,,,,,,,,,SS-49,SEDCO 707,I,5/3/2026
1-AGIP-2-RJS,74316020311,Eni Oil,1AGIP2RJS,RJ,Santos,BM-S-4,,,M,S,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,,1/22/2003,2/16/2003,2/22/2003,Publico,"	-24:50:22,501","	-43:22:15,545","-24,8395836111","-43,3709847222",SIRGAS2000,Definitiva,Vertical,4000.5,4030,4030,MR,24,0,1765,NM,,,,,Existe,,Existe,,Existe,,Existe,,,,,,,,,,,,SAIP,SAIPEM 10000,I,5/3/2026
1-AGIP-3-ESS,34281020448,Petrobras,1AGIP3ESS,ES,Campos,BM-C-4,,,M,S,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,4/25/2003,5/24/2003,6/13/2003,Publico,"	-21:38:43,269","	-39:29:27,876","-21,6453525","-39,4910766666",SIRGAS2000,Definitiva,Vertical,,5065,,MR,24,0,2017,NM,,,,,Existe,Existe,Existe,,,,Existe,,,,,,Existe,,,,,,SAIP,SAIPEM 10000,N,5/3/2026
1-AGN-1-SE,901200043900,Carmo,1AGN 0001  SE,SE,Sergipe,AG,AG   ,AGUILHADA,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,10/10/1967,11/19/1967,11/19/1967,Publico,"	-10:39:40,600","	-36:52:12,839","-10,6612777777","-36,8702330555",SIRGAS2000,Definitiva,Vertical,,1473,,MR,92,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-31,SONDA CONVENCIONAL 31,,5/3/2026
1-AJ-1-AM,140200045700,,1AJ  0001  AM,AM,Solimões,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1/25/1982,4/26/1982,4/26/1982,Publico,"	-04:58:39,069","	-66:26:40,424","-4,9775191666","-66,4445622222",SIRGAS2000,Definitiva,Vertical,,3340,,MR,81,,,,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,,SM-2                          ,,,5/3/2026
1-AJ-1-BA,202400212300,PetroRecôncavo,1AJ  0001  BA,BA,Recôncavo,BT-REC-10,AJBZ ,ACAJÁ-BURIZINHO,T,N,1 ,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,5/22/1967,8/25/1967,8/25/1967,Publico,"	-12:14:53,352","	-38:05:01,399","-12,2481533333","-38,0837219444",SIRGAS2000,Definitiva,Vertical,0,1750.5,0,MR,61,0,0,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC-34,SONDA CONVENCIONAL 34,,5/3/2026
1-AJ-2-BA,202400382600,PetroRecôncavo,1AJ  0002  BA,BA,Recôncavo,BT-REC-10,AJBZ ,ACAJÁ-BURIZINHO,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,3/7/1983,3/17/1983,3/17/1983,Publico,"	-12:15:25,115","	-38:05:00,934","-12,2569763888","-38,0835927777",SIRGAS2000,Definitiva,Vertical,0,1100,0,MR,76.7,0,0,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-95,SONDA CONVENCIONAL 95,,5/3/2026
1-AL-1-BA,202400007600,,1AL  0001  BA,BA,Recôncavo,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,10/12/1942,1/18/1943,1/18/1943,Publico,"	-12:30:13,709","	-38:37:07,026","-12,5038080555","-38,6186183333",SIRGAS2000,Definitiva,Vertical,,908.3,,MR,87,,,,,,,,,Existe,,,,,,,,,,,,,,,,,SC-1                          ,,,5/3/2026
1-AL-1-RN,721000165600,,1AL  0001  RN,RN,Potiguar,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1/10/1984,1/16/1984,1/16/1984,Publico,"	-05:32:19,099","	-37:48:01,799","-5,5386386111","-37,8004997222",SIRGAS2000,Definitiva,Vertical,,434,,MR,112,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC84,SONDA CONVENCIONAL 84,,5/3/2026
1-AL-2-AL,081150000200,,1AL  0002  AL,AL,Alagoas,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,DEVOLVIDO,9/24/1940,8/2/1941,8/2/1941,Publico,"	-09:38:20,276","	-35:44:49,485","-9,6389655555","-35,7470791666",SIRGAS2000,Definitiva,Vertical,,,,MR,8,,,,,,,,,Existe,,,,,,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-AL-2A-AL,081150000400,,1AL  0002A AL,AL,Alagoas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,8/26/1941,2/14/1942,2/14/1942,Publico,"	-09:38:20,035","	-35:44:49,327","-9,6388986111","-35,7470352777",SIRGAS2000,Definitiva,Vertical,,,,MR,8,,,,,,,,,Existe,,,,,,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-AL-3-AL,081150000300,,1AL  0003  AL,AL,Alagoas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,2/26/1941,5/13/1941,5/13/1941,Publico,"	-09:39:07,666","	-35:45:17,909","-9,6521294444","-35,7549747222",SIRGAS2000,Definitiva,Vertical,,,,MR,5,,,,,,,,,Existe,,,,,,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-AL-4-AL,081150000700,,1AL  0004  AL,AL,Alagoas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,4/12/1942,11/12/1942,11/12/1942,Publico,"	-09:37:02,394","	-35:46:04,639","-9,6173316666","-35,7679552777",SIRGAS2000,Definitiva,Vertical,,,,MR,20,,,,,,,,,Existe,,,,,Existe,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-AL-5-AL,081150000500,,1AL  0005  AL,AL,Alagoas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,8/21/1941,3/3/1942,3/3/1942,Publico,"	-09:39:54,034","	-35:41:38,496","-9,6650094444","-35,6940266666",SIRGAS2000,Definitiva,Vertical,,0,,MR,3,0,0,NM,,,,,,Existe,,,,,,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-AL-6-AL,081150000600,,1AL  0006  AL,AL,Alagoas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,3/21/1942,11/5/1942,11/5/1942,Publico,"	-09:34:31,342","	-35:39:21,143","-9,5753727777","-35,6558730555",SIRGAS2000,Definitiva,Vertical,,,,MR,10,,,,,,,,,Existe,,,,,Existe,,,,,,,,,,,,SC-3,SONDA CONVENCIONAL 3,,5/3/2026
1-ALC-1-RN,721000167700,Phoenix Óleo & Gás,1ALC 0001  RN,RN,Potiguar,POT-T-790,PQO  ,PERIQUITO,T,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE GÁS NATURAL,EM AVALIAÇÃO,2/4/1984,2/27/1984,2/27/1984,Publico,"	-05:30:48,425","	-37:25:08,034","-5,5134513888","-37,4188983333",SIRGAS2000,Definitiva,Vertical,0,1944,0,MR,85,0,0,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC-82,SONDA CONVENCIONAL 82,,5/3/2026
1-ALG-1-RN,721000431600,Petro-Victory,1ALG 0001  RN,RN,Potiguar,ALG_R13AM,4362 ,Alto Alegre,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,FECHADO,6/13/1993,7/9/1993,7/9/1993,Publico,"	-05:03:04,630","	-36:54:28,573","-5,0512861111","-36,9079369444",SIRGAS2000,Definitiva,Vertical,0,2562,0,MR,114,0,0,NM,,,,,,Existe,Existe,,,,Existe,,,,,,Existe,,,,,Existe,SC-106,SONDA CONVENCIONAL 106,I,5/3/2026
1-ALG-1-SE,901200078800,,1ALG 0001  SE,SE,Sergipe,,ALG  ,ALAGAMAR,T,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,DEVOLVIDO,3/5/1972,4/6/1972,4/6/1972,Publico,"	-10:37:21,568","	-36:44:57,729","-10,6226577777","-36,7493691666",SIRGAS2000,Definitiva,Vertical,,2294,,MR,71,0,0,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC40,SONDA CONVENCIONAL 40,,5/3/2026
1-ALS-1-AL,081160152200,,1ALS 0001  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,6/9/1970,9/24/1970,9/24/1970,Publico,"	-09:58:03,806","	-35:54:38,553","-9,9677238888","-35,9107091666",SIRGAS2000,Definitiva,Vertical,,,,MR,20.29999,,23.2,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,P-1,PETROBRAS I,,5/3/2026
1-ALS-10-AL,081160159500,,1ALS 0010  AL,AL,Sergipe,Brasil,,,M,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ARRASADO,5/26/1974,7/21/1974,7/21/1974,Publico,"	-10:24:23,307","	-36:14:00,162","-10,4064741666","-36,2333783333",SIRGAS2000,Definitiva,Vertical,,,,MR,22,,20,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,PA11                          ,,,5/3/2026
1-ALS-11-AL,081160163400,,1ALS 0011  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,8/14/1975,10/23/1975,10/23/1975,Publico,"	-10:14:18,829","	-36:09:15,599","-10,2385636111","-36,1543330555",SIRGAS2000,Definitiva,Vertical,,,,MR,20.5,,12,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,PA-2                          ,,,5/3/2026
1-ALS-12-AL,081210166100,,1ALS 0012  AL,AL,Sergipe,Brasil,,,M,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ARRASADO,8/3/1976,8/9/1976,8/9/1976,Publico,"	-10:26:53,874","	-36:15:17,473","-10,4482983333","-36,2548536111",SIRGAS2000,Definitiva,Vertical,,,,MR,22,,24,NM,,,,,,,,,,,,,,,,,,,,,,,P-1,PETROBRAS I,,5/3/2026
1-ALS-12A-AL,081210166400,,1ALS 0012A AL,AL,Sergipe,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,8/31/1976,11/13/1976,11/13/1976,Publico,"	-10:26:54,313","	-36:15:20,523","-10,4484202777","-36,2557008333",SIRGAS2000,Definitiva,Vertical,,,,MR,23,,23.5,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,P-1,PETROBRAS I,,5/3/2026
1-ALS-13-AL,081210103000,,1ALS 0013  AL,AL,Sergipe,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,12/18/1976,2/6/1977,2/6/1977,Publico,"	-10:25:47,349","	-36:16:42,285","-10,4298191666","-36,2784125",SIRGAS2000,Definitiva,Vertical,,,,MR,22,,21,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,P-1,PETROBRAS I,,5/3/2026
1-ALS-14-AL,081210100100,,1ALS 0014  AL,AL,Sergipe,Brasil,,,M,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ARRASADO,10/7/1976,1/5/1977,1/5/1977,Publico,"	-10:30:44,384","	-36:18:17,874","-10,5123288888","-36,304965",SIRGAS2000,Definitiva,Vertical,,,,MR,24.5,,16,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,P-1,PETROBRAS I,,5/3/2026
1-ALS-15-AL,081210108800,,1ALS 0015  AL,AL,Sergipe,Brasil,,,M,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE GÁS NATURAL,ARRASADO,7/17/1977,10/31/1977,10/31/1977,Publico,"	-10:34:31,711","	-36:19:56,491","-10,5754752777","-36,3323586111",SIRGAS2000,Definitiva,Vertical,,,,MR,23.5,,23.8,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,PA-5                          ,,,5/3/2026
1-ALS-16-AL,081160176700,,1ALS 0016  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,10/28/1980,2/26/1981,2/26/1981,Publico,"	-09:38:30,325","	-35:26:38,330","-9,6417569444","-35,4439805555",SIRGAS2000,Definitiva,Vertical,,,,MR,26,,33,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,PA17                          ,,,5/3/2026
1-ALS-17-AL,081160203100,,1ALS 0017  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,12/26/1981,3/18/1982,3/18/1982,Publico,"	-09:34:59,116","	-35:19:02,792","-9,5830877777","-35,3174422222",SIRGAS2000,Definitiva,Vertical,,,,MR,25,,34,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,P-5,PETROBRAS V,,5/3/2026
1-ALS-18-AL,081160192400,,1ALS 0018  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,6/18/1981,7/7/1981,7/7/1981,Publico,"	-10:07:22,109","	-35:56:25,288","-10,1228080555","-35,9403577777",SIRGAS2000,Definitiva,Vertical,,,,MR,26,,27,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,P-5,PETROBRAS V,,5/3/2026
1-ALS-19-AL,081160194600,,1ALS 0019  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,7/22/1981,8/1/1981,8/1/1981,Publico,"	-10:07:51,143","	-35:55:49,282","-10,1308730555","-35,9303561111",SIRGAS2000,Definitiva,Vertical,,,,MR,24,,36,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,P-5,PETROBRAS V,,5/3/2026
1-ALS-2-AL,081160150300,,1ALS 0002  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,11/19/1968,2/24/1969,2/24/1969,Publico,"	-09:42:47,690","	-35:40:32,770","-9,7132472222","-35,6757694444",SIRGAS2000,Definitiva,Vertical,,,,MR,20.2,,21.4,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,P-1,PETROBRAS I,,5/3/2026
1-ALS-20-AL,081160709000,,1ALS 0020  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1/15/1982,3/25/1982,3/25/1982,Publico,"	-09:24:42,069","	-35:13:06,466","-9,4116858333","-35,2184627777",SIRGAS2000,Definitiva,Vertical,,,,MR,30.5,,32.3,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SAVI                          ,,,5/3/2026
1-ALS-23-AL,081160248700,,1ALS 0023  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,10/25/1983,2/6/1984,2/6/1984,Publico,"	-10:22:05,417","	-36:05:05,250","-10,3681713888","-36,0847916666",SIRGAS2000,Definitiva,Vertical,,,,MR,27,,25,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,PA22                          ,,,5/3/2026
1-ALS-24-AL,081160209000,,1ALS 0024  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,4/2/1982,5/27/1982,5/27/1982,Publico,"	-10:15:18,586","	-36:04:39,607","-10,2551627777","-36,0776686111",SIRGAS2000,Definitiva,Vertical,,,,MR,30,,22,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,PA17                          ,,,5/3/2026
1-ALS-25-AL,081160207300,,1ALS 0025  AL,AL,Alagoas,Brasil,,,M,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO E GÁS NATURAL,ABANDONADO PERMANENTEMENTE,3/8/1982,4/13/1982,4/13/1982,Publico,"	-10:16:49,700","	-36:07:43,670","-10,2804722222","-36,1287972222",SIRGAS2000,Definitiva,Vertical,,,,MR,24,,19,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,P-1,PETROBRAS I,,5/3/2026
