POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INÍCIO,TÉRMINO,CONCLUSAO,TITULARIDADE,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
1-MU-1-RN,721000165700,,1MU  0001  RN,RN,Potiguar,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,1/12/1984,1/31/1984,1/31/1984,Publico,"	-05:17:27,006","	-37:14:45,678","-5,290835","-37,2460216666",SIRGAS2000,Definitiva,Vertical,,1486,,MR,35,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-82,SONDA CONVENCIONAL 82,,5/3/2026
1-MU-1-SE,901200179900,Carmo,1MU  0001  SE,SE,Sergipe,CP,CP   ,CARMÓPOLIS,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,12/17/1980,12/28/1980,12/28/1980,Publico,"	-10:48:25,429","	-37:05:55,095","-10,8070636111","-37,0986375",SIRGAS2000,Definitiva,Vertical,,1161,,MR,30,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC-92,SONDA CONVENCIONAL 92,,5/3/2026
1-MU-2-AM,140300010600,,1MU  0002  AM,AM,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,5/26/1960,9/7/1960,9/7/1960,Publico,"	-03:17:26,435","	-60:38:29,182","-3,2906763888","-60,6414394444",SIRGAS2000,Definitiva,Vertical,,1521,,MR,48,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,,,,5/3/2026
1-MU-2-BA,202400200000,,1MU  0002  BA,BA,Recôncavo,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,9/27/1966,10/29/1966,10/29/1966,Publico,"	-12:18:02,444","	-38:28:14,362","-12,3006788888","-38,4706561111",SIRGAS2000,Definitiva,Vertical,,2036.9,,MR,181.6,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC-53,SONDA CONVENCIONAL 53,,5/3/2026
1-MU-3-AM,140300012700,,1MU  0003  AM,AM,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,12/12/1960,3/25/1961,3/25/1961,Publico,"	-03:15:20,435","	-60:33:01,170","-3,2556763888","-60,550325",SIRGAS2000,Definitiva,Vertical,,1562,,MR,56.29999,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,,,,5/3/2026
1-MU-3-BA,202400310600,,1MU  0003  BA,BA,Recôncavo,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,10/18/1977,11/16/1977,11/16/1977,Publico,"	-12:18:37,440","	-38:27:44,699","-12,3104","-38,4624163888",SIRGAS2000,Definitiva,Vertical,,1925,,MR,140,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC-77,SONDA CONVENCIONAL 77,,5/3/2026
1-MU-4-AM,140300030700,,1MU  0004  AM,AM,Amazonas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,9/8/1974,10/4/1974,10/4/1974,Publico,"	-03:09:37,838","	-60:38:21,904","-3,1605105555","-60,6394177777",SIRGAS2000,Definitiva,Vertical,,1356,,MR,55,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-35,SONDA CONVENCIONAL 35,,5/3/2026
1-MUC-1-AM,140200070900,,1MUC 0001  AM,AM,Solimões,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,2/13/1997,5/19/1997,5/19/1997,Publico,"	-05:06:08,684","	-65:25:13,719","-5,1024122222","-65,4204775",SIRGAS2000,Definitiva,Vertical,,2612,,MR,78.9,,,,,,,,,Existe,Existe,Existe,,,Existe,,,,,,,,,,,Existe,SM-15 (QG-04),QUEIROZ GALVÃO 04 (QG-04),,5/3/2026
1-MUC-1-BA,202600334800,,1MUC 0001  BA,BA,Mucuri,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,1/14/1980,1/30/1980,1/30/1980,Publico,"	-18:16:18,273","	-39:41:40,779","-18,2717425","-39,6946608333",SIRGAS2000,Definitiva,Vertical,,848,,MR,34,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-83,SONDA CONVENCIONAL 83,,5/3/2026
1-MUC-2-BA,202600335500,,1MUC 0002  BA,BA,Mucuri,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,2/7/1980,2/14/1980,2/14/1980,Publico,"	-18:13:38,451","	-39:39:55,183","-18,2273475","-39,6653286111",SIRGAS2000,Definitiva,Vertical,,728,,MR,27,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-83,SONDA CONVENCIONAL 83,,5/3/2026
1-MUI-1-BA,202400153200,3R Bahia,1MUI 0001  BA,BA,Recôncavo,MUI,MUI  ,MASSUÍ,T,N,1 ,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ARRASADO,12/27/1963,3/1/1964,3/1/1964,Publico,"	-12:38:07,066","	-38:30:48,108","-12,6352961111","-38,5133633333",SIRGAS2000,Definitiva,Vertical,,2534.3,,MR,46.7,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-25,SONDA CONVENCIONAL 25,,5/3/2026
1-MUI-3-BA,202400168000,,1MUI 0003  BA,BA,Recôncavo,,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,10/4/1964,2/10/1965,2/10/1965,Publico,"	-12:35:57,005","	-38:30:24,608","-12,5991680555","-38,5068355555",SIRGAS2000,Definitiva,Vertical,0,2437,0,MR,49.2,0,0,NM,,,,,,,Existe,,,,Existe,,,,,,,,,,,,LG-1                          ,,I,5/3/2026
